,Symbol
0,MMM
1,AOS
2,ABT
3,ABBV
4,ACN
5,ATVI
6,ADM
7,ADBE
8,ADP
9,AAP
10,AES
11,AFL
12,A
13,APD
14,AKAM
15,ALK
16,ALB
17,ARE
18,ALGN
19,ALLE
20,LNT
21,ALL
22,GOOGL
23,GOOG
24,MO
25,AMZN
26,AMCR
27,AMD
28,AEE
29,AAL
30,AEP
31,AXP
32,AIG
33,AMT
34,AWK
35,AMP
36,ABC
37,AME
38,AMGN
39,APH
40,ADI
41,ANSS
42,AON
43,APA
44,AAPL
45,AMAT
46,APTV
47,ACGL
48,ANET
49,AJG
50,AIZ
51,T
52,ATO
53,ADSK
54,AZO
55,AVB
56,AVY
57,BKR
58,BALL
59,BAC
60,BBWI
61,BAX
62,BDX
63,WRB
64,BRK.B
65,BBY
66,BIO
67,TECH
68,BIIB
69,BLK
70,BK
71,BA
72,BKNG
73,BWA
74,BXP
75,BSX
76,BMY
77,AVGO
78,BR
79,BRO
80,BF.B
81,BG
82,CHRW
83,CDNS
84,CZR
85,CPT
86,CPB
87,COF
88,CAH
89,KMX
90,CCL
91,CARR
92,CTLT
93,CAT
94,CBOE
95,CBRE
96,CDW
97,CE
98,CNC
99,CNP
100,CDAY
101,CF
102,CRL
103,SCHW
104,CHTR
105,CVX
106,CMG
107,CB
108,CHD
109,CI
110,CINF
111,CTAS
112,CSCO
113,C
114,CFG
115,CLX
116,CME
117,CMS
118,KO
119,CTSH
120,CL
121,CMCSA
122,CMA
123,CAG
124,COP
125,ED
126,STZ
127,CEG
128,COO
129,CPRT
130,GLW
131,CTVA
132,CSGP
133,COST
134,CTRA
135,CCI
136,CSX
137,CMI
138,CVS
139,DHI
140,DHR
141,DRI
142,DVA
143,DE
144,DAL
145,XRAY
146,DVN
147,DXCM
148,FANG
149,DLR
150,DFS
151,DISH
152,DIS
153,DG
154,DLTR
155,D
156,DPZ
157,DOV
158,DOW
159,DTE
160,DUK
161,DD
162,DXC
163,EMN
164,ETN
165,EBAY
166,ECL
167,EIX
168,EW
169,EA
170,ELV
171,LLY
172,EMR
173,ENPH
174,ETR
175,EOG
176,EPAM
177,EQT
178,EFX
179,EQIX
180,EQR
181,ESS
182,EL
183,ETSY
184,RE
185,EVRG
186,ES
187,EXC
188,EXPE
189,EXPD
190,EXR
191,XOM
192,FFIV
193,FDS
194,FICO
195,FAST
196,FRT
197,FDX
198,FITB
199,FRC
200,FSLR
201,FE
202,FIS
203,FISV
204,FLT
205,FMC
206,F
207,FTNT
208,FTV
209,FOXA
210,FOX
211,BEN
212,FCX
213,GRMN
214,IT
215,GEHC
216,GEN
217,GNRC
218,GD
219,GE
220,GIS
221,GM
222,GPC
223,GILD
224,GL
225,GPN
226,GS
227,HAL
228,HIG
229,HAS
230,HCA
231,PEAK
232,HSIC
233,HSY
234,HES
235,HPE
236,HLT
237,HOLX
238,HD
239,HON
240,HRL
241,HST
242,HWM
243,HPQ
244,HUM
245,HBAN
246,HII
247,IBM
248,IEX
249,IDXX
250,ITW
251,ILMN
252,INCY
253,IR
254,PODD
255,INTC
256,ICE
257,IFF
258,IP
259,IPG
260,INTU
261,ISRG
262,IVZ
263,INVH
264,IQV
265,IRM
266,JBHT
267,JKHY
268,J
269,JNJ
270,JCI
271,JPM
272,JNPR
273,K
274,KDP
275,KEY
276,KEYS
277,KMB
278,KIM
279,KMI
280,KLAC
281,KHC
282,KR
283,LHX
284,LH
285,LRCX
286,LW
287,LVS
288,LDOS
289,LEN
290,LNC
291,LIN
292,LYV
293,LKQ
294,LMT
295,L
296,LOW
297,LYB
298,MTB
299,MRO
300,MPC
301,MKTX
302,MAR
303,MMC
304,MLM
305,MAS
306,MA
307,MTCH
308,MKC
309,MCD
310,MCK
311,MDT
312,MRK
313,META
314,MET
315,MTD
316,MGM
317,MCHP
318,MU
319,MSFT
320,MAA
321,MRNA
322,MHK
323,MOH
324,TAP
325,MDLZ
326,MPWR
327,MNST
328,MCO
329,MS
330,MOS
331,MSI
332,MSCI
333,NDAQ
334,NTAP
335,NFLX
336,NWL
337,NEM
338,NWSA
339,NWS
340,NEE
341,NKE
342,NI
343,NDSN
344,NSC
345,NTRS
346,NOC
347,NCLH
348,NRG
349,NUE
350,NVDA
351,NVR
352,NXPI
353,ORLY
354,OXY
355,ODFL
356,OMC
357,ON
358,OKE
359,ORCL
360,OGN
361,OTIS
362,PCAR
363,PKG
364,PARA
365,PH
366,PAYX
367,PAYC
368,PYPL
369,PNR
370,PEP
371,PKI
372,PFE
373,PCG
374,PM
375,PSX
376,PNW
377,PXD
378,PNC
379,POOL
380,PPG
381,PPL
382,PFG
383,PG
384,PGR
385,PLD
386,PRU
387,PEG
388,PTC
389,PSA
390,PHM
391,QRVO
392,PWR
393,QCOM
394,DGX
395,RL
396,RJF
397,RTX
398,O
399,REG
400,REGN
401,RF
402,RSG
403,RMD
404,RHI
405,ROK
406,ROL
407,ROP
408,ROST
409,RCL
410,SPGI
411,CRM
412,SBAC
413,SLB
414,STX
415,SEE
416,SRE
417,NOW
418,SHW
419,SPG
420,SWKS
421,SJM
422,SNA
423,SEDG
424,SO
425,LUV
426,SWK
427,SBUX
428,STT
429,STLD
430,STE
431,SYK
432,SYF
433,SNPS
434,SYY
435,TMUS
436,TROW
437,TTWO
438,TPR
439,TRGP
440,TGT
441,TEL
442,TDY
443,TFX
444,TER
445,TSLA
446,TXN
447,TXT
448,TMO
449,TJX
450,TSCO
451,TT
452,TDG
453,TRV
454,TRMB
455,TFC
456,TYL
457,TSN
458,USB
459,UDR
460,ULTA
461,UNP
462,UAL
463,UPS
464,URI
465,UNH
466,UHS
467,VLO
468,VTR
469,VRSN
470,VRSK
471,VZ
472,VRTX
473,VFC
474,VTRS
475,VICI
476,V
477,VMC
478,WAB
479,WBA
480,WMT
481,WBD
482,WM
483,WAT
484,WEC
485,WFC
486,WELL
487,WST
488,WDC
489,WRK
490,WY
491,WHR
492,WMB
493,WTW
494,GWW
495,WYNN
496,XEL
497,XYL
498,YUM
499,ZBRA
500,ZBH
501,ZION
502,ZTS
